pledge_type,user_id,pledge_id,title,project_id,partner_logo,partner_name,pledge_date,pledge_amount,product_id,card_postcode,card_country
crowd_pledge,11371624,13206730,The Happiness Project by Lil's Parlour,1356985,,,10/07/22 21:41,5.0,,WS14 9GF,GB
crowd_pledge,11371627,13206733,Mike 'Boothy' Booth's Rehabilitation,1370200,,,10/07/22 21:44,40.0,,BN2 6LP,GB
crowd_pledge,10385096,13206736,Mike 'Boothy' Booth's Rehabilitation,1370200,,,10/07/22 21:45,50.0,,CT3 3LY ,GB
crowd_pledge,11370151,13206739,Mike 'Boothy' Booth's Rehabilitation,1370200,,,10/07/22 21:46,40.0,,BN31RJ,GB
crowd_pledge,2168344,13206742,Hallies fundraising for next chapter animal rescue,1362046,,,10/07/22 21:47,5.0,,DH64EH,GB
crowd_pledge,10737767,13206745,The Bozeat Community Primary School Fundraiser,1352152,,,10/07/22 21:47,35.0,,NN29 7LX,GB
crowd_pledge,6324992,13206748,Hidden Planet,1362619,,,10/07/22 21:51,26.0,,N18 1RH,GB
crowd_pledge,11371633,13206751,Recording the album 'Let her go',1364167,,,10/07/22 21:51,20.0,,BN149LY,GB
crowd_pledge,11371636,13206754,"Motherhood Uncensored, a Mural & Film.",1330859,,,10/07/22 21:52,10.0,,NG2 5GW,GB
crowd_pledge,9877994,13206757,MORE billboards to #AbolishTheMonarchy,1094324,,,10/07/22 21:55,10.0,,,GB
